Zip,Latitude,Longitude
29378,34.966907,-81.968539
29407,32.79893,-79.997803
29429,32.970653,-79.658228
29445,32.997438,-79.96658
29458,33.093166,-79.461334
29475,32.957264,-80.80648
29493,33.034143,-80.842844
29520,34.679486,-79.927292
29544,34.008496,-79.025271
29564,33.449386,-79.848408
29575,33.629132,-78.970412
29588,33.662435,-79.032716
29609,34.912592,-82.38817
29626,34.460802,-82.756514
29642,34.776727,-82.563606
29655,34.264095,-82.640492
29669,34.638704,-82.412542
29683,35.029999,-82.494173
29696,34.773013,-83.004068
29714,34.712239,-80.915313
29730,34.889897,-81.017852
29809,33.418902,-81.69249
29828,33.522812,-81.828197
29842,33.457043,-81.86071
29856,33.485256,-81.511831
29911,32.94116,-81.141681
29926,32.238247,-80.740263
29941,32.565341,-80.816756
30012,33.717806,-84.002515
30028,34.293159,-84.175907
30043,33.999036,-84.009343
30060,33.925711,-84.541608
30076,34.028568,-84.311368
30093,33.908536,-84.177349
30107,34.336291,-84.345793
30121,34.209221,-84.778006
30139,34.432341,-84.705495
30157,33.884746,-84.871949
30177,34.411352,-84.377919
30189,34.124224,-84.570679
30220,33.225468,-84.823454
30240,33.036764,-85.120092
30259,33.266198,-84.737458
30277,33.375308,-84.649196
30293,32.976649,-84.611505
30309,33.799896,-84.3858
30319,33.875954,-84.334763
30336,33.738375,-84.5676
30349,33.622488,-84.523908
30415,32.324484,-81.603497
30434,33.025668,-82.383791
30450,32.562251,-81.923131
30461,32.511828,-81.718844
30504,34.268204,-83.893289
30519,34.087409,-83.945058
30531,34.512602,-83.592206
30543,34.290463,-83.649536
30557,34.479752,-83.184905
30568,34.959483,-83.432792
30602,33.943919,-83.373855
30624,34.186246,-83.044149
30641,33.778357,-83.574025
30663,33.615454,-83.6003
30680,33.996386,-83.69955
30725,34.924777,-85.352675
